post_url,comment_body,post_title,source,post_year,post_month,comment_year,comment_month
https://www.sitejabber.com/users/billc509,"Wanted a refund on my membership that is a 100% guarantee and was denied. The staff walked away from me after harassing me to sign a form and called the cops.
Costco then tells my purchases to the police so that it stays in a police report that anyone can view now
Melissa Osgood decided to state to the cops that I was verbally abusing her at the Roseville Michigan store. The video recording does not have any verbal abuse
I was only trespassed for not signing a form. Melissa Osgood trespassed me for not signing a form
They denied me a tire warranty service after I got a screw in my tire.
Omar Nezami the guy who gloats they pay him so well he can flat out buy a Mercedes offers me $200. It's great to know they pay him so well but offer me petty change after using the cops as a weapon on me.
I only wonder if telling the police I was a Hispanic creating a disturbance was only to try and get a faster response. Really odd to have 6 cops to come so fast
IF YOU BUY GOLD HERE BEWARE AS THEY TOLD 2 GOVERNMENT AGENCIES THAT I DID",Costco calls cops on gold buyer,https://www.sitejabber.com/reviews/costco.com#2592,2024.0,9.0,2024.0,9.0
https://www.sitejabber.com/users/patriciak1881,"The first time I was shorted pills at Costco I said nothing, but documented my pill usage like a hawk after that. The second time it happened I told the pharmacist I didn't want pills or money. I wanted it documented in case it happened again to someone else. She told me, ""You complained and now Costco will never fill your prescriptions."" Sounds like she knew they had a problem and wanted to shut me up.",Racism,https://www.sitejabber.com/reviews/costco.com#2586,,,,
https://www.sitejabber.com/users/bretthallettawtgb,"Costco's delivery service left me feeling cheated and frustrated. Despite paying extra for expedited shipping, my order arrived a week later than promised. Attempts to seek assistance from customer service were met with long wait times and vague responses. If you're looking for reliable delivery, Costco isn't the answer.",Costly Delivery Dilemma,https://www.sitejabber.com/reviews/costco.com#2574,2024.0,4.0,2024.0,4.0
https://www.sitejabber.com/users/deborahh676,"I no longer believe Costco is superior to Sam's. I was initially thrilled when Costco opened a store near my location, but my excitement was short-lived as I discovered a few things. Firstly, Costco's website is horrible! It has to be one of the worst, if not the worst, websites I've ever encountered. It is not user-friendly at all. Secondly, Costco does not have self-check-out like Sam's. In fact, I can use my phone to scan my items without getting in the self-checkout line. And lastly, and maybe most importantly, Sam's is less expensive than Costco.",Sam's is Superior to Costco,https://www.sitejabber.com/reviews/costco.com#2577,2024.0,4.0,2024.0,4.0
https://www.sitejabber.com/users/soumyaranjanbehera100x,"Shopping at Costco is always a delight, thanks to its unbeatable selection, quality products, and fantastic value. Whether I'm stocking up on pantry essentials, shopping for electronics, or browsing through the latest deals, Costco never fails to impress. The warehouse format allows me to explore a wide range of products under one roof, while the bulk packaging ensures that I get more bang for my buck. I appreciate Costco's commitment to offering high-quality brands and its focus on customer satisfaction, as evidenced by its generous return policy and excellent customer service. With affordable prices and a treasure trove of goodies, Costco has become my go-to destination for all my shopping needs.",A Shopper's Paradise at Costco,https://www.sitejabber.com/reviews/costco.com#2571,,,,
https://www.sitejabber.com/users/robinm1552,"Left front door OPEN, lights on, and snuck away so they didn't have to install or haul away. Absolutely disgusting company practice! Taking advantage of less fortunate family's. Costco refused to refund my money since I'm doing the haul away and the install myself with help from the neighbor.",Shameful,https://www.sitejabber.com/reviews/costco.com#2547,2024.0,3.0,2024.0,3.0
https://www.sitejabber.com/users/jesuskoolngir,"I've had consistently positive experiences with the Costco Pharmacy. The pharmacists are knowledgeable and attentive, and the prescription fill times are usually fast, even during peak hours. I appreciate the convenience of being able to refill prescriptions online or via the Costco app. Plus, the prices for medications are often significantly lower compared to other pharmacies, making Costco my pharmacy of choice.",Well,https://www.sitejabber.com/reviews/costco.com#2559,2024.0,3.0,2024.0,3.0
https://www.sitejabber.com/users/khoacuaresmashfn,"The Costco Bakery never disappoints with its delicious and affordable baked goods. Whether it's their famous sheet cakes, fresh bread, or decadent pastries, everything is made with high-quality ingredients and baked to perfection. The prices are unbeatable, and the portions are generous. I always make sure to pick up something from the Costco Bakery during my shopping trips.",Costco Bakery,https://www.sitejabber.com/reviews/costco.com#2556,2024.0,3.0,2024.0,3.0
https://www.sitejabber.com/users/natgaspardwoiu,"I've had excellent experiences with the Costco Tire Center. The prices are unbeatable, especially considering the quality of tires and the included services like installation, rotation, and balancing. The staff are knowledgeable and efficient, and the wait times are usually minimal. Plus, the warranty and satisfaction guarantee provide added peace of mind.",I've had excellent experiences with the Costco Tire Center.,https://www.sitejabber.com/reviews/costco.com#2562,2024.0,3.0,2024.0,3.0
https://www.sitejabber.com/users/tanyat205,"Not quite sure when Costco did this as I had always use my debit card to pay. Attempted to check out online for a pick up and card was declined. However, there's a hold on my bank account. Again, attempted to check out and card was declined with another hold on my bank account. What's going on Costco? You don't take MasterCard, but for some reason you can put a hold on my account for seven days. I really question that logic. Will be cancelling my membership after this!",No longer accepts Mastercard?,https://www.sitejabber.com/reviews/costco.com#2538,,,,
https://www.sitejabber.com/users/mishkob,"As I noticed by the years, whatever I bought in Costco was with some issues. By example, toilet paper is not the same quality as use to be for whole rolls.
Taquitos rolls come with two boxes. One of them is always staffed with chicken, other one there is no chicken at all.
Clothes are almost every time I purchased, miss measurement.
Definitely,it's not store for the people who know products quality.",Costco sells fake products,https://www.sitejabber.com/reviews/costco.com#2517,2024.0,2.0,2024.0,2.0
https://www.sitejabber.com/users/adelk25,"Costco pharmacy at Seminole, Florida sold me dangerous artheritis pain ointment that damage organs and kill. Name: Diclofenac Sodium gel. I complained to the pharmacy. They ignored me.
Dr. Adel Khalifa",Pharmcy Complaint,https://www.sitejabber.com/reviews/costco.com#2514,,,,
https://www.sitejabber.com/users/sharonm3563,"When I went to check out in the scan your own, someone ran my items for me. What is self check out if someone does it for you. You have to show your card to enter the store, show your card to enter check out lanes, scan your card before you can check out. You can't even pay with a different card even if you have someone with you who wants to gift you items, they tell you to figure it out later. When you leave the store you have to show your receipt and someone literally counts the numbers of items in your card. This was way too much. You can't get in or out without so many uses of showing your card so why have to have every item in your cart counted. There is no place to get more items once you go through the registers. Costco is way over the top on how they handle these matters. Even though I paid for a membership I will never go and shop there again.",Frustrated with Costco,https://www.sitejabber.com/reviews/costco.com#2541,2024.0,3.0,2024.0,3.0
https://www.sitejabber.com/users/bethanyh210,"They must have a different hiring criteria for the pharmacy. They are RUDE. I had a script transferred to them. Kept telling me, after hours, that they had not received the script. I kept calling the doctor that was sending the script and they faxed it repeatedly. THEY, not COSTCO, finally called the pharmacy. Their fax machine wasn't working. Then they failed to text me that the script was ready after 6 hours. I really could used that inhaler since I have pneumonia. They just shrugged.",Garbage Pharmacy,https://www.sitejabber.com/reviews/costco.com#2529,2024.0,2.0,2024.0,2.0
https://www.sitejabber.com/users/sharynb51,"So far three orders completed online with Costco have been nightmares. First order received with somebody else's order and not mine so my time on returning the order to my local Costco store. Second order, I was unable to return it from Costco as Costco indicated I ordered from Cosco next, and they could not help me and the merchant that I ordered from indicated, my order was not returnable even though the website indicated it was returnable, third order received defective products and again my local Costco store would not assist me and now I'm having to wait four more weeks for a replacement product from costco.com Extremely unhappy with the service that Costco claims that they will provide to me as a member, but they continuously fail to show any true consumer satisfaction.",Nightmare. Costco.com.,https://www.sitejabber.com/reviews/costco.com#2532,2024.0,2.0,2024.0,2.0
https://www.sitejabber.com/users/ronc672,"Purchased a new Sony OLED TV. Loved the TV however... after a period of time it began freezing the picture to the point in required unplugging. After 2 factory resets sonys support got involved. There is where it all turned ""sour"" to put it lightly. They blamed it on my ""internet?"" then stated it would not be covered. How ironic... No service tech, nothing. Just a person a half a world away telling me it's my internet.
After 2 days I finally contacted the Costco's team where I originally purchased my TV and they immediately took charge. Today I ordered a new TV. Definately not a sony... EVER! From Costco of coarse!
I want to give a huge shootout to the Costco Nampa management team for they're diligence and help.","An awesome, understanding, and caring team to work with",https://www.sitejabber.com/reviews/costco.com#2535,2024.0,2.0,2024.0,2.0
https://www.sitejabber.com/users/robs1118,"A once great company has now gone to s**t! Product quality is not what it was, prices are not much cheaper than retail, check out lines are long, stores are overcrowded, customer service has dropped. I have had a executive membership.for 15+ years. At this point its not worth renewing. Feeling ripped off. Seems like Costco gives membership for very little to anyone these days and letting illegal citizens in to access membership privileges. I'll be switching to Amazon prime and Walmart +.",Costco is going down hill!,https://www.sitejabber.com/reviews/costco.com#2475,2024.0,1.0,2024.0,1.0
